dutch,english,article
ga,go,
werk,work,
week,week,
nee,no,
vaak,often,
per,per,
uur,hour,
vind,find/think,
doe,do,
moet,must,
jaar,year,
misschien,maybe,
zaterdag,Saturday,
keer,time,
twee,two,
heel,very,
doen,do,
leuk,nice,
tot,until,
drie,three,
jij,you,
graag,gladly,
mooi,beautiful,
morgen,tomorrow,
wil,want,
hebben,have,
mee,along,
gaan,go,
zullen,shall,
woensdag,Wednesday,
tijd,time,
eten,eat,
eet,eat,
dag,day,
weer,again/weather,
ze,they/she,
woon,live,
kijk,look,
gezellig,cozy,
prima,fine,
vier,four,
restaurant,restaurant,
kom,come,
lang,long,
huis,house,
wordt,becomes,
iets,something,
duur,expensive,
lees,read,
waarom,why,
fijn,fine,
wanneer,when,
vrijdag,Friday,
alles,everything,
agenda,agenda,de
behoorlijk,rather,
binnenkort,soon,
gelijk,immediately,
heerlijk,delicious,
hockey,(field) hockey,de
lastig,difficult,
meegaan,to come along,
omdat,because,
plezier,pleasure,het
sauna,sauna,de
sowieso,no matter what,
speciaal,special,
strand,beach,het
trainen,to train,
training,training,de
veld,field,het
volwassene,adult,de
voorlopig,for the time being,
wandelen,to walk,
wedstrijd,match,de
zwembad,swimming pool,het
zwemmen,to swim,
bedenken,to think of,
bovendien,in addition,
durven,to dare,
egoïstisch,selfish,
examen,exam,het
excuus,excuse,het
kwaad,angry,
liegen,to lie,
logeren,to stay over,
moeite,trouble,de
neef,nephew,de
nicht,niece,de
ontdekken,to discover,
oppassen op,to care for,
plan,plan,het
reizen,to travel,
schoonouders,parents-in-law,de
smoes,excuse,de
verzinnen,to make up,
vriendschap,friendship,de
waarheid,truth,de
zwager,brother-in-law,de
aflopen,to end,
bedrijf,company,het
behalve,except,
christelijk,Christian,
datum,date,de
enzovoorts,and so on,
Europees,European,
Hemelvaart,Ascension Day,
herdenken,to commemorate,
Kerstmis,Christmas,
koning,king,de
Koningsdag,King's Day,
midden,middle,het
noorden,north,het
officieel,official,
oorlog,war,de
optreden,performance,het
oranje,orange,
oud en nieuw,New Year's Eve and New Year's Day,
Pasen,Easter,
Pinksteren,Pentecost,
regio,region,de
respect,respect,het
scholier,schoolkid,de
slachtoffer,victim,het
stil,silent,
traditie,tradition,de
voorjaar,spring,het
zuiden,south,het
aandacht,attention,de
actief,active,
bezoeken,to visit,
bijbaantje,job on the side,het
bijles,extra lesson,de
bijzonder,special,
campus,campus,de
Chinees,Chinese,
gemotiveerd,motivated,
nauwelijks,barely,
ontzettend,extremely,
opvallen,to stand out,
piano,piano,de
positief,positive,
presentatie,presentation,de
presteren,to perform,
reis,trip,de
samenwerken,to collaborate,
sportclub,sports club,de
trouwens,by the way,
volgen,to follow,
workshop,workshop,de
afhangen van,to depend on,
Arabisch,Arabic,
bedoeling,intention,de
bereiken,to achieve,
bestaan,to exist,
besteden,to spend,
dichtbij,close to,
doel,goal,het
doorgaan,to go through,
Duits,German,
gemakkelijk,easy,
grammatica,grammar,de
interview,interview,het
invloed,influence,de
klank,sound,de
lesmethode,teaching method,de
moedertaal,native language,de
motivatie,motivation,de
negatief,negative,
onbekend,unknown,
staatsexamen NT2,NT2 state exam,het
taalcontact,language contact,het
uitspraak,pronunciation,de
uitspreken,to pronounce,
voordeel,advantage,het
aanrecht,countertop,het
afwasmachine,dishwasher,de
afwassen,to do the dishes,
apparaat,device,het
bord,plate,het
drogen,to dry,
droger,dryer,de
droog,dry,
elektrisch,electric,
föhn,hair dryer,de
lenen,to borrow,
mama,mum,
ophangen,to hang up,
raar,weird,
spannend,exciting,
stofzuiger,vacuum cleaner,de
strijken,to iron,
strijkijzer,iron,het
tand,tooth,de
tandenborstel,toothbrush,de
vuil,dirty,
afhankelijk,depending,
bevroren,frozen,
branden,to light up,
draaien,to turn,
